7704 ms: (281,671,-750);(171,656,-734);(343,765,-640);(343,765,-640);(312,687,-687);(296,687,-734);(296,734,-734);(250,703,-734);(218,671,-687);(218,671,-687);
1027 ms: (296,687,-703);(281,796,-640);(281,828,-609);(328,796,-546);(328,906,-437);(328,906,-437);(250,1062,-203);(140,953,-125);(125,906,-234);(125,734,-390);
803 ms: (140,953,-140);(140,953,-140);(328,1093,46);(343,859,62);(312,453,687);(343,593,765);(421,500,796);(515,484,687);(515,484,687);(578,531,625);
993 ms: (484,531,625);(390,578,703);(484,578,718);(328,593,562);(328,593,562);(343,593,515);(281,1437,1109);(171,1125,656);(156,406,125);(562,187,62);
1125 ms: (562,187,62);(937,531,453);(-609,2531,2265);(531,1968,1796);(1828,-1640,-828);(1171,796,687);(-625,2343,3203);(-625,2343,3203);(-187,-203,-406);(1890,-531,1906);
903 ms: (281,265,1296);(-609,2406,2296);(1593,1500,-1062);(1593,1500,-1062);(1187,562,1390);(140,656,1531);(93,1406,1859);(1890,1890,-109);(31,-2046,46);(31,-2046,46);
1162 ms: (-187,562,2140);(968,2000,2375);(359,-1890,-828);(1046,-31,2156);(1046,-31,2156);(125,921,953);(218,1531,2062);(937,1531,-2000);(1734,-703,1781);(390,406,1234);
1218 ms: (140,1578,1843);(1703,2343,453);(1703,2343,453);(656,-2265,-578);(203,-187,1390);(500,1812,2125);(1703,2125,1140);(484,-1812,-1265);(484,-1812,-1265);(-62,468,1625);
626 ms: (296,984,1562);(1921,1843,953);(62,-1484,-1015);(15,359,1531);(15,359,1531);(453,1468,1828);(1296,2203,343);(1546,-1296,-828);(828,250,1062);(15,1781,1796);
1125 ms: (1468,2859,15);(1468,2859,15);(1593,-781,-671);(500,453,1609);(312,1062,1281);(1171,2421,1609);(812,-2500,-2890);(812,-2500,-2890);(-31,937,1578);(171,1718,1812);
1096 ms: (937,2171,0);(1281,-187,-781);(2046,1859,-500);(2046,1859,-500);(-968,3062,3484);(1046,-468,-1953);(734,-578,3140);(359,812,1015);(156,1812,1312);(156,1812,1312);
1017 ms: (2328,2109,62);(-796,-3250,625);(-265,640,1171);(609,1750,3031);(609,1750,3031);(1562,-812,1250);(1562,-812,1250);(406,843,1562);(-218,1671,2031);(2046,2000,609);
596 ms: (-468,-734,765);(-78,1265,1703);(-78,1265,1703);(875,2046,2062);(859,-3453,-3390);(1328,-93,1578);(109,1078,921);(-187,1625,1921);(-187,1625,1921);(2046,1968,343);
1297 ms: (578,-1484,-843);(140,484,1125);(296,1156,1796);(1250,1671,2062);(1250,1671,2062);(1593,-1687,-2281);(-156,-1093,1656);(125,1078,1406);(156,1968,2078);(1078,1625,-203);
897 ms: (2062,-437,1312);(2062,-437,1312);(46,468,1218);(-312,1718,2296);(2015,2375,-765);(312,-781,62);(-62,687,1562);(-62,687,1562);(437,1078,1046);(515,2046,2859);
1133 ms: (2515,-1171,-546);(-1109,-1343,671);(-203,250,1031);(-203,250,1031);(46,953,1984);(2218,1406,15);(265,-156,203);(-359,250,1265);(375,1156,1125);(218,1703,2609);
759 ms: (218,1703,2609);(1140,-109,687);(234,-968,671);(15,750,1078);(-687,1921,2750);(1031,-343,-1640);(1031,-343,-1640);(1406,250,2546);(78,562,828);(46,1093,1515);
1126 ms: (-625,203,640);(-281,421,937);(-281,421,937);(62,578,1218);(46,218,953);(171,218,765);(812,843,-1015);(-234,375,875);(-546,656,640);(-546,656,640);
