7863 ms: (359,562,-765);(406,656,-796);(328,718,-656);(328,718,-656);(375,593,-765);(390,562,-734);(359,640,-687);(375,687,-703);(390,671,-687);(390,671,-687);
1038 ms: (375,640,-671);(390,640,-687);(437,687,-671);(390,656,-656);(390,656,-656);(406,640,-656);(390,656,-687);(390,656,-640);(375,687,-687);(390,671,-656);
905 ms: (406,656,-687);(406,656,-703);(406,656,-703);(421,718,-718);(453,750,-718);(359,671,-703);(359,625,-703);(328,562,-750);(328,562,-750);(375,468,-812);
1030 ms: (421,437,-812);(390,546,-531);(265,593,46);(265,593,46);(343,890,796);(328,828,906);(296,734,828);(296,781,578);(234,640,375);(187,640,203);
1262 ms: (187,640,203);(312,640,406);(359,734,953);(812,1187,1531);(1000,1093,750);(-125,-406,-1031);(468,593,1156);(468,593,1156);(78,453,765);(125,375,609);
935 ms: (312,1062,1812);(890,1468,1750);(218,62,281);(218,62,281);(515,218,281);(203,875,1328);(-93,406,843);(156,500,1093);(1312,1203,1890);(1312,1203,1890);
909 ms: (906,1140,-93);(187,-296,-953);(1250,281,734);(187,593,750);(-31,531,812);(-31,531,812);(312,1078,1640);(1078,1437,1484);(125,281,390);(234,171,31);
896 ms: (500,93,1031);(15,468,734);(15,468,734);(-15,609,828);(828,1187,1890);(1078,1171,937);(359,-203,203);(593,484,718);(593,484,718);(93,593,1046);
1258 ms: (-31,468,625);(93,796,1421);(1125,1093,1750);(421,671,-750);(421,671,-750);(171,109,-140);(546,859,2109);(140,578,796);(0,500,765);(500,968,1796);
683 ms: (937,1234,1218);(937,1234,1218);(296,140,718);(375,0,281);(-31,906,1296);(-93,218,750);(125,671,1515);(125,671,1515);(703,1109,1593);(93,218,78);
941 ms: (312,375,250);(93,281,906);(-62,453,1437);(-62,453,1437);(343,1093,1812);(140,718,62);(171,156,359);(-93,78,921);(0,531,1390);(0,531,1390);
1170 ms: (406,1281,1531);(31,359,625);(468,296,625);(93,93,562);(-156,812,1390);(187,1359,1718);(187,1359,1718);(156,-15,562);(62,375,406);(-62,-46,593);
804 ms: (-187,453,1125);(312,1171,2031);(312,1171,2031);(15,531,187);(218,421,-93);(125,390,500);(93,343,437);(437,1000,1203);(437,1000,1203);(640,1437,1765);
1346 ms: (1234,1031,421);(671,265,-765);(578,531,1375);(-359,1046,1500);(-359,1046,1500);(31,656,562);(421,437,500);(531,453,437);(718,984,1000);(1078,1234,1203);
941 ms: (1796,1234,1250);(1796,1234,1250);(703,-93,-328);(1281,-156,734);(671,515,859);(906,1343,796);(1125,906,328);(1125,906,328);(687,562,375);(796,421,375);
909 ms: (921,687,421);(1312,1250,812);(2250,1312,812);(2250,1312,812);(1062,-1031,-1281);(265,93,1218);(343,828,1234);(796,1046,781);(859,625,296);(859,625,296);
849 ms: (656,343,171);(781,421,281);(671,593,562);(859,1109,1156);(1640,1125,1421);(1625,-515,-453);(1625,-515,-453);(531,46,468);(281,921,1453);(546,1000,1109);
992 ms: (640,593,500);(593,296,312);(593,296,312);(750,453,343);(687,765,609);(937,1171,1187);(1640,1218,1359);(1031,-859,-1015);(1031,-859,-1015);(718,93,1078);
901 ms: (140,625,953);(453,906,984);(500,640,625);(515,468,406);(796,593,421);(796,593,421);(828,937,937);(1468,1406,1375);(765,687,-625);(562,-218,-78);
1169 ms: (-46,31,1437);(-46,31,1437);(-296,546,875);(-93,546,921);(0,640,906);(-93,843,687);(-78,1156,62);(-78,1156,62);(234,625,-734);(406,171,-984);
